Model,Aggregation_method,Train_field,Test_field,Training_features,Feature_Importances,RMSE_test,RMSE_train,R2_test,R2_train,GKF_CV,DataTime
GradientBoostingRegressor(random_state=1),Simpsons,"['Masbasis_2019_Simps', 'Masbasis_2020_Simps']",['Staur_2019_Simps'],"['weather_features', 'base_indices']","[3.10054214e-03 1.71831054e-03 7.23163379e-03 6.63745624e-03
 3.77484344e-02 1.45207763e-01 0.00000000e+00 9.39824853e-03
 0.00000000e+00 1.42996380e-02 0.00000000e+00 0.00000000e+00
 9.09840982e-05 1.14063126e-03 7.56792753e-05 1.01426338e-01
 5.06308162e-02 4.11397501e-02 3.27129850e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.11361275e-04 6.89051199e-05
 0.00000000e+00 4.98599096e-03 0.00000000e+00 0.00000000e+00
 1.38518729e-05 1.76782273e-05 4.03667210e-04 2.67446490e-06
 4.03864012e-03 1.76538740e-02 2.45136838e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.14966077e-03 1.73999770e-03
 0.00000000e+00 2.20866739e-05 3.91656709e-05 0.00000000e+00
 0.00000000e+00 1.17623854e-01 0.00000000e+00 3.32188785e-02
 0.00000000e+00 0.00000000e+00 1.04600680e-05 0.00000000e+00
 0.00000000e+00 1.33012705e-06 8.95396028e-03 9.23911318e-04
 1.40818674e-03 0.00000000e+00 0.00000000e+00 2.18266304e-02
 0.00000000e+00 1.72844765e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.38674132e-04 0.00000000e+00 1.79268843e-01
 0.00000000e+00 7.71950553e-02 3.22147957e-04 4.91004355e-04
 0.00000000e+00 1.60678727e-04 1.32609398e-05 0.00000000e+00
 6.27697259e-02 0.00000000e+00 4.10109611e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",8.465287,1.284089,0.0088,0.985882,FALSE,43:21.1
"RandomForestRegressor(max_depth=100, min_samples_split=400, n_estimators=50,
                      n_jobs=-1, random_state=1)",Simpsons,"['Masbasis_2019_Simps', 'Masbasis_2020_Simps']",['Staur_2019_Simps'],"['weather_features', 'base_indices']","[0.   0.   0.   0.   0.   0.02 0.   0.02 0.   0.   0.   0.   0.04 0.
 0.   0.04 0.   0.02 0.   0.   0.   0.02 0.02 0.02 0.   0.04 0.   0.02
 0.   0.   0.04 0.04 0.02 0.02 0.06 0.04 0.02 0.04 0.   0.04 0.   0.
 0.   0.02 0.   0.02 0.   0.   0.06 0.02 0.02 0.   0.02 0.04 0.02 0.
 0.   0.   0.02 0.   0.02 0.   0.   0.   0.   0.   0.   0.02 0.02 0.
 0.02 0.02 0.   0.02 0.   0.   0.   0.   0.   0.   0.   0.02 0.   0.
 0.04]",8.612625,2.855253,-0.026004,0.9302,FALSE,43:22.3
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,"['Masbasis_2019_Simps', 'Masbasis_2020_Simps']",['Staur_2019_Simps'],"['weather_features', 'base_indices']",,24.489364,2.466514,-7.295317,0.947912,FALSE,43:25.7
LinearRegression(),Simpsons,['Staur_2019_Simps'],['Masbasis_2019_Simps'],"['weather_features', 'base_indices']",,10.580462,6.283308,-26.919643,0.453922,FALSE,43:25.8
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,['Staur_2019_Simps'],['Masbasis_2019_Simps'],"['weather_features', 'base_indices']","[0.12743864 0.09860496 0.53311918 0.10957544 0.13126178 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",8.71307,2.420519,-17.93403,0.918961,FALSE,43:27.2
GradientBoostingRegressor(random_state=1),Simpsons,['Staur_2019_Simps'],['Masbasis_2019_Simps'],"['weather_features', 'base_indices']","[0.08687286 0.07591067 0.61204513 0.1013529  0.12381845 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",8.835571,3.71235,-18.470177,0.809377,FALSE,43:28.3
"RandomForestRegressor(max_depth=100, min_samples_split=400, n_estimators=50,
                      n_jobs=-1, random_state=1)",Simpsons,['Staur_2019_Simps'],['Masbasis_2019_Simps'],"['weather_features', 'base_indices']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",7.600156,8.502958,-13.406073,-0.000041,FALSE,43:29.4
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,['Staur_2019_Simps'],['Masbasis_2019_Simps'],"['weather_features', 'base_indices']",,10.580462,6.283308,-26.919643,0.453922,FALSE,43:29.9
LinearRegression(),Simpsons,['Masbasis_2019_Simps'],['Staur_2019_Simps'],"['weather_features', 'base_indices']",,10.996345,1.440072,-0.672533,0.482788,FALSE,43:29.9
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,['Masbasis_2019_Simps'],['Staur_2019_Simps'],"['weather_features', 'base_indices']","[0.19916971 0.14816501 0.35965773 0.09331167 0.19969588 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",10.779301,0.585242,-0.60716,0.914578,FALSE,43:31.2
