Model,Aggregation_method,Train_field,Test_field,Training_features,Feature_Importances,RMSE_test,RMSE_train,R2_test,R2_train,GKF_CV,DataTime
GradientBoostingRegressor(random_state=1),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features']","[9.53360554e-02 1.45619857e-03 4.18077286e-04 2.58080076e-04
 2.66241374e-03 6.27361143e-03 1.08809637e-04 7.28363882e-05
 1.29031159e-02 1.54988185e-03 1.18536889e-02 2.61840164e-02
 1.16360847e-04 2.99764061e-03 2.64244664e-03 8.63036798e-04
 7.57868819e-03 5.22323065e-03 6.03639626e-04 5.20270267e-04
 3.69424407e-03 3.76182974e-04 2.64870073e-03 3.19764169e-03
 1.60024599e-03 5.90903299e-04 1.45853279e-04 4.93323301e-03
 4.29447328e-04 9.77380528e-04 0.00000000e+00 1.11553849e-03
 1.06121294e-01 1.68634392e-04 6.88056175e-03 3.39642189e-04
 0.00000000e+00 1.48902451e-02 1.29018719e-02 3.34760898e-03
 6.37879249e-04 3.97756255e-04 3.13155598e-04 0.00000000e+00
 0.00000000e+00 2.80255613e-04 8.04684623e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.18025511e-02 6.64887132e-03
 2.40731030e-03 9.97504483e-04 1.11312403e-03 5.77943592e-02
 0.00000000e+00 1.62008552e-06 4.63995609e-02 2.42771481e-02
 0.00000000e+00 1.08648212e-02 1.26817638e-02 0.00000000e+00
 1.26595596e-03 1.18327650e-03 0.00000000e+00 2.08967052e-04
 9.23804519e-02 2.53217440e-04 3.78191582e-02 4.49860456e-03
 4.71266937e-04 1.93963021e-04 4.01156851e-04 5.76530058e-03
 0.00000000e+00 0.00000000e+00 6.40306217e-03 3.40641046e-03
 0.00000000e+00 1.03514877e-04 9.44312750e-04 1.51194522e-03
 2.31021698e-04 5.40386135e-04 0.00000000e+00 0.00000000e+00
 8.59582480e-02 2.89138430e-04 1.75286988e-03 6.77739917e-04
 4.33390233e-04 0.00000000e+00 0.00000000e+00 5.55383279e-03
 8.46491814e-03 1.47586872e-04 1.79122415e-04 8.03864522e-05
 4.79180280e-02 0.00000000e+00 0.00000000e+00 1.35426294e-01
 1.80737774e-04 9.76948979e-03 2.03054495e-03 2.15200571e-03]",3.390460,2.309010,0.885025,0.946732,True,2021-12-03 23:16:07.397119
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features']",,3.677117,3.549959,0.864720,0.874113,True,2021-12-03 23:17:40.026077
LinearRegression(),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features']",,1.082698,0.989762,0.676764,0.741658,True,2021-12-03 23:17:40.398707
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features']","[0.12215574 0.02058313 0.00915601 0.02271521 0.00606761 0.00911205
 0.00746666 0.01123304 0.0090381  0.00851886 0.01056515 0.02874414
 0.01113436 0.0118727  0.01510584 0.04471154 0.02007907 0.39095048
 0.0097369  0.00448889 0.03860432 0.01720233 0.01804708 0.00901268
 0.02557018 0.04909858 0.01822774 0.05080161 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",1.191610,0.457621,0.612528,0.944765,True,2021-12-03 23:17:49.055795
GradientBoostingRegressor(random_state=1),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features']","[0.17261961 0.02120041 0.01371311 0.0236115  0.00342993 0.00577042
 0.00052895 0.00284573 0.00284659 0.00755972 0.00946897 0.02372973
 0.00302615 0.00343566 0.01590953 0.05209476 0.01166945 0.41037074
 0.01786612 0.00098826 0.03779231 0.00363209 0.01220643 0.004494
 0.02072463 0.04308033 0.00523019 0.07015468 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",1.172932,0.482401,0.621533,0.938497,True,2021-12-03 23:17:58.740458
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features']",,1.073206,1.008568,0.681980,0.731734,True,2021-12-03 23:18:14.263681
LinearRegression(),Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['spectral_indices_all', 'weather_features']",,1.320623,1.195294,0.823783,0.867925,True,2021-12-03 23:18:14.544669
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['spectral_indices_all', 'weather_features']","[0.05460274 0.00760477 0.00359238 0.00309467 0.01749083 0.01000318
 0.00494547 0.00251473 0.24593496 0.0072034  0.39748387 0.01653714
 0.00277917 0.00804395 0.00751935 0.00433312 0.01239735 0.00336924
 0.00361245 0.00513265 0.03322718 0.02546627 0.05952249 0.04374391
 0.00328998 0.00433652 0.00632718 0.00589104 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",1.407920,0.522819,0.804950,0.974743,True,2021-12-03 23:18:20.924806
GradientBoostingRegressor(random_state=1),Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['spectral_indices_all', 'weather_features']","[0.06325528 0.00793783 0.00286433 0.00149155 0.02565602 0.002665
 0.00083934 0.0025182  0.24660399 0.00615182 0.40395512 0.01753459
 0.00165104 0.00646631 0.00591152 0.00181002 0.00882389 0.00242395
 0.00634765 0.00962699 0.01701014 0.0065735  0.09195443 0.04160737
 0.00203565 0.00282961 0.00684601 0.00660887 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",1.443701,0.576574,0.793870,0.969276,True,2021-12-03 23:18:27.584639
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['spectral_indices_all', 'weather_features']",,1.320591,1.223897,0.824027,0.861515,True,2021-12-03 23:18:42.082119
LinearRegression(),Simpsons,Robot_2020_Simps,Robot_2020_Simps,"['spectral_indices_all', 'weather_features']",,4.875592,1.611523,-3.488374,0.764630,True,2021-12-03 23:18:42.345412
