Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,ndvi_mean,ndvi_median,ndvi_stdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value
1739,0.01757577674461915,0.01709328219294548,0.004598000135786495,0.04662285457108089,0.04518897831439972,0.0115888010824123,0.858700902340448,0.8602505922317505,0.02249905370987526,0.3197524280115738,0.3190622329711914,0.04473942015423876,0.1158424160637099,0.1139684692025185,0.02040116471941144
1740,0.01529353223233277,0.01507565751671791,0.002900835909614691,0.04510956676583152,0.04445616155862808,0.008611969101373712,0.8542354386805354,0.8565825819969177,0.02885672864907372,0.313852592466655,0.3140096962451935,0.03660582915570468,0.1135922700117628,0.1126274317502975,0.0152708421879323
1741,0.01424178994178386,0.01390959788113832,0.002842519682586399,0.03717726255426319,0.036528330296278,0.007554158521803168,0.8783198001617338,0.879670262336731,0.01699849181539344,0.2880669786908278,0.2871835827827454,0.03386907060998552,0.09616529869347265,0.09505840763449669,0.01400779531520581
1742,0.01595850873674807,0.01564359106123447,0.003451925862096284,0.04290765317212453,0.04237135872244835,0.008654883853560131,0.8765295634248488,0.8764607906341553,0.01676221845632637,0.3215151299437456,0.3214280009269714,0.03406159940809932,0.111339526092056,0.1106454208493233,0.01534671653791244
1745,0.04206251836339651,0.04099560901522636,0.01145850014332584,0.07607181658634923,0.07459425181150436,0.0209146172585009,0.4465088933522711,0.4434033632278442,0.07572024195016218,0.2049307484331273,0.2006895393133163,0.04381043350169459,0.138710287662396,0.1362811923027039,0.03308594196434841
1746,0.0440161052337982,0.04278419353067875,0.01174214651045266,0.07972901609071212,0.07859701663255692,0.01941108310240143,0.4897030202822297,0.4841286391019821,0.1108941814440371,0.2271649848104476,0.2220541164278984,0.04693096406430581,0.1481572821564567,0.1469805985689163,0.0299596726991059
1747,0.06041593679653114,0.05925339832901955,0.0151694422688921,0.1001944524072755,0.09899047389626503,0.02264547550989978,0.3359233815796974,0.3271586447954178,0.0668650129331139,0.2299635597386854,0.227683924138546,0.03712849637817305,0.169606579180202,0.167912058532238,0.0319223472954409
1748,0.05675549336225785,0.05661755800247192,0.01433191443885046,0.09045428737240091,0.09092196077108383,0.01994831488103008,0.3360500596138793,0.3259446024894714,0.06517751851367655,0.2090500785091152,0.2107540369033813,0.02861123102693899,0.1506599322022291,0.1519481539726257,0.0254324513999451
1749,0.03739028992402766,0.03617173805832863,0.01057394859142866,0.06881220775401228,0.06678472086787224,0.01892332638887235,0.5112362451603348,0.4994326680898666,0.1003491998529099,0.2038120496220893,0.1961999386548996,0.04698877295686175,0.1277432371675423,0.1242468170821667,0.03006375985267784
1751,0.01730064376141385,0.01681970711797476,0.004081290023148471,0.0436655156141035,0.04282604716718197,0.009306901142842397,0.8759298869161609,0.8757438659667969,0.01746649966038936,0.3152841711754202,0.3158932626247406,0.03659373126247734,0.1075597909440579,0.1063203848898411,0.01609070271160372
1752,0.01571568378601353,0.01531459018588066,0.003665814233380907,0.04160747593794801,0.04108849354088306,0.007929920511080634,0.8885061727822867,0.8892266154289246,0.01809775867508819,0.3262085945606668,0.3266112059354782,0.03571440159415774,0.1079698039735288,0.1072776615619659,0.01395135258062186
1753,0.01586327163051936,0.015273149125278,0.004298414745465635,0.04248833239320256,0.04126359149813652,0.01025105802813882,0.8823050080170434,0.8838240504264832,0.01831705841235294,0.3196397916026876,0.3179605007171631,0.04314347008646496,0.1072978646202902,0.1055498868227005,0.01795182201392644
1754,0.01514265869940041,0.01485069375485182,0.003066424870361855,0.04060379691194834,0.04019276238977909,0.00804375721112968,0.8684446693193622,0.8707396388053894,0.01841518439089963,0.3018772992700702,0.3014265596866608,0.03690930409907511,0.1026054405361959,0.1020346134901047,0.01485683176934928
1755,0.01344896420784188,0.01298362202942371,0.00330398741507314,0.03779210190437268,0.0368446558713913,0.008283189904139369,0.9025103302473119,0.9037352800369263,0.01542775072781398,0.3306566656862828,0.3298531472682953,0.03907436880701995,0.1014835791349338,0.1001807972788811,0.01516668697838291
1756,0.01643163944597686,0.01592507399618626,0.00441194624031952,0.04440383734672889,0.04304177686572075,0.01147504084448379,0.8436062493859431,0.8461084961891174,0.02523966096364016,0.2931672927754505,0.2903750240802765,0.04762233286674391,0.107226143607409,0.1057263016700745,0.01979321737667026
1757,0.01543373628548148,0.01504255458712578,0.003610175096430597,0.04165050820027635,0.04082069545984268,0.008773071143333356,0.8898346830975433,0.8918823599815369,0.01833067445697115,0.3231343667574251,0.3234108984470367,0.03777363618650288,0.1053495652665236,0.104154147207737,0.01544155691553302
1758,0.01417515731368816,0.01393987238407135,0.002913919261494948,0.04411678126040473,0.0436694547533989,0.008967478480308736,0.8893934798498042,0.8897001445293427,0.01366887948430591,0.3247685047908508,0.3256867080926895,0.03544117838791826,0.1138503698827065,0.113420594483614,0.01675999459531509
