Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,Replicates,Block,Name,Line,Maturity_Date,Days2Heading,Days2Maturity,Lodging,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1839,0.012715003453195,0.02901906799525,0.015353550668806,0.08119473606348,0.295809119939804,606.6666666666666,2.0,42.0,C80.1/3*QT4522//2*PASTOR,1333.0,2020-08-13,69,90.0,0.0,0.9013149576150915,3.2595765490832815,0.280455569270998,0.266790051944554,0.029969581868499004,0.037493678927420594,0.5027711204220126,0.5418116297616317,0.8213266639220851,0.5692631002544827,0.6315917598447176,0.6326111381612328,17.37395484931764,0.4316660378686918,0.7965186604143923,9.1936120067062,0.34805172315116095,0.7014571210319999,0.1795190260004542,0.5186177435789311,0.48517386259396494,0.5952414882714033,0.5502775180643835,1.3225438694216074,3.389361665462512,10.1936120067062,0.31662471257183067,19.266495830231836
1840,0.01563099399209,0.031965669244528,0.016659012064338,0.080947130918503,0.279503971338272,558.6666666666666,2.0,42.0,TJALVE/Purpur seed,1321.0,2020-08-09,65,86.0,10.0,0.8875010517996342,3.088546436864752,0.262844959273934,0.247538302093744,0.031641332432628,0.040284384787082794,0.4829856911088034,0.5112251280904825,0.794742953536556,0.5508565216657954,0.6206826691064687,0.6185650079353104,16.38296384364364,0.4639268425268478,0.7847289849195201,7.743879854357139,0.32883901780930824,0.6484753835330828,0.1550068212871318,0.4952094572720479,0.457574054001505,0.5762084361017665,0.525035507668645,1.2727623788956015,3.096088864959392,8.74387985435714,0.25311666916121406,16.77794398964432
1841,0.014718440361321,0.031575907021761,0.016690798103809,0.084307603538036,0.316226750612259,,,,Bastian,,,63,,,0.8997301393802828,3.4299039356394627,0.29953595250845,0.284650843590498,0.03174257557839201,0.03995136525482042,0.5191353622128178,0.5721457920135304,0.8184263039474117,0.5790243575141585,0.643553363581862,0.6772580044992671,18.567561507225083,0.4436923644949424,0.8010630692528404,9.014811305161453,0.3356833996267932,0.7139296288682838,0.20263472402078528,0.5394338604766719,0.5036269484897798,0.6076796277362599,0.5605540642830775,1.3733122204563877,3.3527201993204097,10.014811305161453,0.3090623790678601,18.946173133571907
1842,0.015321547165513,0.032252863049507,0.016846131533384,0.083725400269032,0.30948793888092,,,,Bastian,,,63,,,0.8967553004073608,3.3756729533669687,0.29264180734753603,0.27723507583141305,0.032338047400117004,0.041006326302886406,0.5122773583320784,0.5608269610804405,0.811243709458649,0.5741477110108755,0.640250144883518,0.6690487628327488,18.17477770149708,0.45612480202386346,0.7976104676417182,8.595673364124822,0.33450820799906067,0.7008560118540689,0.19327357247825439,0.531217006217859,0.49403879768381637,0.6017300147165032,0.552546403969465,1.3544251104248164,3.2861934738081056,9.595673364124822,0.29506610231828423,18.37145449491519
1843,0.01327214576304,0.027857001870871,0.01520570833236,0.076201528310776,0.286667838692665,,2.0,8.0,MS 273-150,26.0,,66,,,0.8992577621841142,3.4505038288913017,0.271462130360305,0.258810836821794,0.027236149646342002,0.033805159851908996,0.4940793740539471,0.5268338378209371,0.8228629457631427,0.5800057252556489,0.6449827286972012,0.6192718069541773,16.79377956315874,0.4246745161176908,0.8040094877540758,9.290692444990736,0.32350099339804006,0.6877170038077736,0.16816500865470818,0.5078022551699785,0.4766168395356737,0.5877412380700745,0.5454105132081928,1.2977961562403975,3.34196339837175,10.290692444990736,0.3068226777508539,18.852646152799956
1844,0.01211060769856,0.030197657644749,0.014584657736123,0.082363232970238,0.294921815395355,,2.0,8.0,N894037,1627.0,,66,,,0.9057553944603449,3.1360733342492844,0.280337157659232,0.264724157750606,0.033700049854815006,0.04347918666899181,0.5039016697903764,0.542164619975742,0.8142365490299371,0.5633898913988915,0.6220110803033781,0.6276667933567319,17.444749455898958,0.47787523261536324,0.7910665433923515,8.766380520796396,0.3869540147119271,0.7127973588974226,0.1805151457562825,0.5194593872266053,0.48124695828940767,0.5970890151725937,0.5456885828384829,1.3229609275801368,3.4968181829366993,9.766380520796396,0.33821671536337233,20.22137377039012
1845,0.013820603489876,0.030363587662578,0.016210606321692,0.080985352396965,0.287560135126114,,2.0,8.0,Dulus,18.0,,66,,,0.893270785432261,3.1891253188255493,0.271349528804422,0.257196547463536,0.030695965513587997,0.0383647043257972,0.4923297743604382,0.5259478123532652,0.8089882227331668,0.5605136671662895,0.6274846063560137,0.6242845758783857,16.84709098190076,0.43210472889402407,0.7861614189319271,8.470558562502193,0.33821630329082775,0.6721866393601748,0.16650542346633418,0.5063935177255562,0.47167579377688845,0.5850941091223634,0.538153967254001,1.2966388367041026,3.2117706128372037,9.470558562502193,0.27899377887748117,17.739011695159075
1846,0.014275509398431,0.0294020306319,0.017928584478796,0.074350446462631,0.253379940986633,,,,Bastian,,,63,,,0.8678361879853236,3.173051867293823,0.23545135650783702,0.22397791035473302,0.026599967386572998,0.0309019797481586,0.4520323082344167,0.4628949823733654,0.7920515903923131,0.5462706583829294,0.6294628709262441,0.5666742337181695,14.586019236594382,0.34710057359903745,0.7535417332349643,7.617770117949817,0.2922811405785939,0.5634094954620785,0.1192331910921695,0.4578933372331632,0.4291959673489052,0.5459000752506787,0.5058424342256084,1.1958280205223226,2.7593530593933298,8.617770117949817,0.17125018578953227,14.132735425169987
1847,0.015736949630082,0.029549966566265,0.019331847317517,0.068243715912104,0.193437725305557,526.6666666666666,2.0,43.0,DH 49-18 Bastian/Adder,23.0,2020-08-06,64,83.0,0.0,0.8182837228162901,2.5595834506168917,0.17410587798804,0.163887758739292,0.024031136184930996,0.026516516506672194,0.3774493423020527,0.3500052666960851,0.7349632500501334,0.47842143031197726,0.5846644836895843,0.45367504649525425,10.85507744923232,0.308286652512307,0.6886822741058436,5.5461233220612325,0.25519231452396873,0.3187014267942871,0.04872826104623598,0.36640006393786634,0.34002188539680056,0.4670603256668891,0.42791912695236645,1.0226720419218691,2.163252864976788,6.5461233220612325,0.0003083392867534083,10.006168687783859
1848,0.015753969550133,0.030881293118,0.018379438668489,0.076270945370197,0.259441912174225,630.6666666666666,2.0,43.0,CHD132/05 (Arabella),1414.0,2020-08-12,65,89.0,0.0,0.8676887963236896,3.1640386861553873,0.241062473505736,0.22856061905622502,0.027629178017377992,0.03277925699949339,0.4573480157112343,0.47248402785029187,0.7872626606824873,0.5456179669251736,0.6288175774965659,0.5845296229030054,14.963822588324602,0.3731143690137286,0.7602021104475554,7.4012645190366815,0.28811608007727707,0.5710226076220758,0.12531553854820057,0.4648801551498206,0.4337983831027343,0.5505955181074231,0.5075479486070605,1.2112686898778402,2.75711031289024,8.401264519036681,0.1706708716863913,14.115877903226197
