Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,Block,iBlock,Entry,Name,Pedigree,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
245,0.029181932099163997,0.05711374618113,0.07390711456537201,0.12111861258745199,0.188715018332005,613.4477419354839,2,9,2,Demonstrant,T1005/NK93512,0.4371600462612024,1.4317784560222884,0.11480790376663298,0.131601272150875,1.4317784560222884,0.011138445697723993,-0.0352177685126668,0.22402997237372715,0.22058140455293304,0.5353371580071679,0.2181700080264207,0.4990620938311102,-0.19477557444033014,6.216739490628299,-0.16490126720005488,0.5169258381033249,2.3041961165271134,-0.21155914174455476,-0.34964929819946794,-0.09423905710115242,0.22581544413834018,0.2646745709186656,0.2716561552977424,0.3242778325699868,0.8827457242557954,1.9276017664032805,3.3041961165271134,-0.5931928591793301,2.553408010064898
246,0.029943350702523998,0.060145031660795,0.074507817625999,0.13044190406799303,0.208663269877434,644.2451612903227,2,10,17,GN18569,SW71139/GN05567,0.4737611224161738,1.3984561255069357,0.134155452251435,0.148518238216639,1.3984561255069357,0.01583889499306699,-0.0283270180225366,0.25210640141989504,0.2559696187202174,0.552506144217861,0.23066992726577895,0.48689079021378157,-0.229253645686672,7.47481569647794,-0.1371679375739238,0.5061128547011752,2.4693351074158514,-0.19714289337305826,-0.26232897450366377,-0.07515787249593137,0.2569466385928993,0.28976970836452515,0.3027170680451841,0.34635112632817894,0.933701968862831,2.203000340454554,3.4693351074158514,-0.5624322069204323,2.8005553850046248
247,0.027597211301327,0.05439648032188401,0.075194828212261,0.119888797402382,0.18988862633705103,609.2361290322581,2,10,3,Krabat,T1005/NK93512,0.4326705275506139,1.5662030068732757,0.11469379812479003,0.13549214601516701,1.5662030068732757,0.006000921130180012,-0.0448753580451014,0.2227658549720682,0.22004974166099883,0.5546475913668281,0.22596814218956407,0.522263773011741,-0.19528871390380168,6.049693971872321,-0.20391717221538228,0.547643796584745,2.4908256051386064,-0.22872868660685855,-0.35178653287129763,-0.09604166021637824,0.22486526948688115,0.2730650085624828,0.2698147784801276,0.3351400874865063,0.8832304567931466,1.8960075447273277,3.4908256051386064,-0.5967696219346367,2.525288385539372
248,0.030058477073907998,0.05858351662755001,0.076523885130882,0.12632904946804,0.19926691055297896,668.4619354838711,2,10,12,GN18547,GN07560/GN05567,0.4450584549703295,1.4644638172696969,0.12274302542209696,0.14068339392542895,1.4644638172696969,0.010584671050310017,-0.03796525150537478,0.2337259533144369,0.2345396355465786,0.5456007789621857,0.22401340938084868,0.5033348021571299,-0.20659426993001598,6.646966785192538,-0.17078107707631773,0.5260196053931944,2.401415995899262,-0.21452055983697355,-0.3167530549413211,-0.08961713788553098,0.23732498394860194,0.2784521632761114,0.2816558464239327,0.33668361876449104,0.905088625212722,1.9842840243229913,3.401415995899262,-0.586799958212108,2.603983190505349
249,0.02956416644156,0.061625964939594,0.074251137673855,0.136314198374748,0.220905885100365,666.3561290322581,2,10,7,GN18538,GN09543/GN07501,0.49687026264217804,1.3629957299930555,0.14665474742651,0.159279920160771,1.3629957299930555,0.019436625763773002,-0.022889002040029985,0.2699414434123303,0.2786927970203062,0.5637591660488676,0.23680551749132087,0.47659426473235483,-0.253494232715144,8.29427793622016,-0.11875481186831631,0.5041302037465836,2.5846235481569786,-0.18580108822228295,-0.20683961240425866,-0.06127527139000816,0.27665242818615915,0.305316493161213,0.322206930989743,0.3599287150662458,0.9660010932300249,2.3953582977262955,3.5846235481569786,-0.5414118184290934,2.9751178503241906
250,0.028897766023874,0.05886508524417901,0.0760787576437,0.12793117016553898,0.202415645122528,627.7935483870968,2,10,13,GN18548,GN07560/GN05567,0.45364246542820785,1.4364707702967139,0.12633688747882799,0.14355055987834897,1.4364707702967139,0.01275364682078401,-0.034891528636216966,0.23939878260012437,0.241246462801169,0.5494112010360505,0.22547356750522182,0.4970292348896173,-0.21474322463574813,6.891666352748839,-0.16232257626650398,0.5307372013366429,2.438636745073673,-0.20705007812252496,-0.2999266040629859,-0.08534142087600607,0.24342542546853485,0.2828468280207244,0.2881151656254578,0.34074798473073836,0.9142051968141814,2.047537166371474,3.438636745073673,-0.5797031392922553,2.660606605466694
251,0.030088131316006003,0.060154661536217006,0.077414054423571,0.12851706892252,0.19990314543247198,619.1081593927894,2,6,12,GN18640,Bombona/Demonstrant//GN03531,0.44169309034018017,1.3969053921744703,0.12248909100890099,0.13974848389625497,1.3969053921744703,0.012807137332857016,-0.03541787732392536,0.2325996241198189,0.23383743470356333,0.537374691901023,0.21736200571622008,0.49211094868795363,-0.20548521207697987,6.658969745039899,-0.16058149427225396,0.529572497579774,2.3231530246765217,-0.2078364014630663,-0.31908570080000975,-0.09099680260093382,0.23636893220345367,0.275798398388161,0.2800920957355947,0.33268869564581566,0.9049464814557882,1.9599586679172678,3.3231530246765217,-0.5895396735220961,2.582259086169314
252,0.027799084782599997,0.057350773364305004,0.071263171732426,0.12492289394140199,0.198143824934959,594.933586337761,2,6,22,GN19503,GN03531/Saar//NK01568,0.4709627246956109,1.3645417452665993,0.126880653202533,0.140793051570654,1.3645417452665993,0.015639290213584015,-0.026778376847507373,0.24445052289456007,0.24357641943256286,0.5510607758749613,0.2266433733818895,0.4812342070773689,-0.2205962730473333,7.056343257427141,-0.13799948067944623,0.5038816470748062,2.4549459983094715,-0.1951288408879055,-0.2895493628722619,-0.07862636521008842,0.2473606045021129,0.2795381698709714,0.2954787746526023,0.33885651497506697,0.9129208182712358,2.1807405542335547,3.4549459983094715,-0.5648898861656858,2.780451951801074
253,0.029903363436460002,0.059343282133340995,0.076887927949429,0.129931464791298,0.20551386475563002,707.3055028462999,2,6,19,GN18721,SW51114/Zebra,0.45547138909467966,1.4249125240206904,0.12862593680620102,0.14617058262228902,1.4249125240206904,0.011895272880792986,-0.03640454411506661,0.24204428130142813,0.2452059664581687,0.5518846077563624,0.22531957760872096,0.49469534860703046,-0.21726048737815634,7.01577037572854,-0.16500518320895455,0.5276173245991356,2.4631361355081776,-0.21043312264623706,-0.2908902928984055,-0.08395406958469992,0.24659824019860527,0.2866625157720614,0.2907446102777289,0.344046425234052,0.9206218366530855,2.0612437925968616,3.4631361355081776,-0.5781705444698444,2.6729015885406784
254,0.031115354970098,0.062404610216617994,0.07914274930953999,0.131788805127144,0.20855295658111603,600.6451612903227,2,6,13,GN18643,Bombona/Demonstrant//GN03531,0.44981626288423204,1.4581178069621563,0.12941020727157604,0.14614834636449803,1.4581178069621563,0.014551116153597998,-0.033844122663140006,0.24126917709059775,0.2460040742063506,0.5393772467465199,0.22555019715674515,0.5014273955114744,-0.21573132642173268,7.0950868725776814,-0.1515696392563897,0.5291209558774094,2.341947908290589,-0.20357356821698325,-0.29068216688624554,-0.08588087941390914,0.2464343901530805,0.2843509539147718,0.28905840634348823,0.3391246786788441,0.9239255427735793,2.0191255936727597,3.341947908290589,-0.5828859321228111,2.6351492512021784
255,0.030482142232357998,0.061097741127014014,0.07976990565657599,0.1324103474617,0.20876952260732698,653.776091081594,2,6,24,GN19505,SW71144/GN05567,0.4470779530094784,1.4505800583572268,0.128999616950751,0.14767178148031296,1.4505800583572268,0.011943434365094041,-0.03863669242709834,0.24015179509083118,0.2450823797826185,0.5472015369218031,0.2238091453935372,0.5006042992882547,-0.21521946250072024,6.99309043586258,-0.16915413491538528,0.5419439799504737,2.4169761231159614,-0.21146409571092725,-0.2933428218080016,-0.08707369201450522,0.24538966409345786,0.2877219004559536,0.2875992807367041,0.34352879118418855,0.9232162738642778,1.9990076356410684,3.4169761231159614,-0.585144480558247,2.617146414916396
256,0.031819706782699,0.06300513073802,0.081039991229773,0.13536629825830498,0.21256618946790698,660.2846299810248,2,7,14,GN18714,GN09648/Demonstrant,0.4479680840696052,1.4210406602653274,0.131526198238134,0.14956105872988698,1.4210406602653274,0.013150563463568,-0.03730029352009418,0.24273347323699707,0.24930933580789733,0.5427308568182061,0.22188181308998822,0.49530719035669574,-0.2174243259881721,7.170177474617919,-0.16070210532977758,0.5368755709311304,2.37379173692652,-0.20871007547874457,-0.2840624562612976,-0.0858852059053884,0.24859848896811615,0.28925977824355864,0.2899568035775812,0.34336755381226275,0.9304626124283539,2.005527786651701,3.37379173692652,-0.584412056076896,2.622978929812779
