Unnamed: 0,Plot_ID,Blue_Mean_Value,Green_Mean_Value,Red_Mean_Value,RedEdge_Mean_Value,NIR_Mean_Value,NDVI_median,MTCI_median,EVI_median,DVI_median,RVI_median,VARI_median,EXG_median,EXGR_median,GLI_median,GNDVI_median,GVI_median,Time,Blue_Median_Value,Green_Median_Value,Red_Median_Value,RedEdge_Median_Value,NIR_Median_Value,NDVI_mean,MTCI_mean,EVI_mean,DVI_mean,RVI_mean,VARI_mean,EXG_mean,EXGR_mean,GLI_mean,GNDVI_mean,GVI_mean,Blue_Std_Dev_Value,Green_Std_Dev_Value,Red_Std_Dev_Value,RedEdge_Std_Dev_Value,NIR_Std_Dev_Value,NDVI_std,MTCI_std,EVI_std,DVI_std,RVI_std,VARI_std,EXG_std,EXGR_std,GLI_std,GNDVI_std,GVI_std
864,1412,0.022915513254702,0.059772400185466,0.04013704136014,0.11574312672019,0.341935649514198,0.790710836648941,3.032198786735535,0.532007098197937,0.301133126020432,8.556155681610107,-0.595127582550049,0.056006133556366,0.056006133556366,0.307142361998558,0.059772400185466,0.703147292137146,2019-08-21,0.022915513254702,0.059772400185466,0.04013704136014,0.11574312672019,0.341935649514198,0.790710836648941,3.032198786735535,0.532007098197937,0.301133126020432,8.556155681610107,-0.595127582550049,0.056006133556366,0.056006133556366,0.307142361998558,0.059772400185466,0.703147292137146,0.022915513254702,0.059772400185466,0.04013704136014,0.11574312672019,0.341935649514198,0.790710836648941,3.032198786735535,0.532007098197937,0.301133126020432,8.556155681610107,-0.595127582550049,0.056006133556366,0.056006133556366,0.307142361998558,0.059772400185466,0.703147292137146
865,1413,0.020726583898067,0.058870913460851,0.042311510071158,0.121488410979509,0.34823015332222,0.785755485296249,2.869687914848328,0.530195713043213,0.306584864854813,8.335129261016846,-0.626061737537384,0.054668515920639,0.054668515920639,0.307251319289207,0.058870913460851,0.71015453338623,2019-08-21,0.020726583898067,0.058870913460851,0.042311510071158,0.121488410979509,0.34823015332222,0.785755485296249,2.869687914848328,0.530195713043213,0.306584864854813,8.335129261016846,-0.626061737537384,0.054668515920639,0.054668515920639,0.307251319289207,0.058870913460851,0.71015453338623,0.020726583898067,0.058870913460851,0.042311510071158,0.121488410979509,0.34823015332222,0.785755485296249,2.869687914848328,0.530195713043213,0.306584864854813,8.335129261016846,-0.626061737537384,0.054668515920639,0.054668515920639,0.307251319289207,0.058870913460851,0.71015453338623
866,1414,0.025152254849672,0.068427354097366,0.056659253314137,0.144774585962296,0.353592470288277,0.722020924091339,2.387071013450623,0.489095270633698,0.296071782708168,6.194786310195923,-0.724118441343307,0.054205691441894,0.054205691441894,0.252452924847603,0.068427354097366,0.672770768404007,2019-08-21,0.025152254849672,0.068427354097366,0.056659253314137,0.144774585962296,0.353592470288277,0.722020924091339,2.387071013450623,0.489095270633698,0.296071782708168,6.194786310195923,-0.724118441343307,0.054205691441894,0.054205691441894,0.252452924847603,0.068427354097366,0.672770768404007,0.025152254849672,0.068427354097366,0.056659253314137,0.144774585962296,0.353592470288277,0.722020924091339,2.387071013450623,0.489095270633698,0.296071782708168,6.194786310195923,-0.724118441343307,0.054205691441894,0.054205691441894,0.252452924847603,0.068427354097366,0.672770768404007
867,1415,0.025219842791557,0.068212080746889,0.05820643901825,0.139035515487194,0.321845918893814,0.692554205656052,2.297780871391296,0.440285220742226,0.262730687856674,5.505211591720581,-0.754569381475449,0.052181456238031,0.052181456238031,0.239133700728416,0.068212080746889,0.651297271251678,2019-08-21,0.025219842791557,0.068212080746889,0.05820643901825,0.139035515487194,0.321845918893814,0.692554205656052,2.297780871391296,0.440285220742226,0.262730687856674,5.505211591720581,-0.754569381475449,0.052181456238031,0.052181456238031,0.239133700728416,0.068212080746889,0.651297271251678,0.025219842791557,0.068212080746889,0.05820643901825,0.139035515487194,0.321845918893814,0.692554205656052,2.297780871391296,0.440285220742226,0.262730687856674,5.505211591720581,-0.754569381475449,0.052181456238031,0.052181456238031,0.239133700728416,0.068212080746889,0.651297271251678
868,1416,0.026476252824068,0.068450182676315,0.047974061220884,0.137248232960701,0.394409894943237,0.782862544059753,2.904047966003418,0.581126153469086,0.345245212316513,8.21075439453125,-0.601527690887451,0.062498673796654,0.062498673796654,0.299052387475967,0.068450182676315,0.704186320304871,2019-08-21,0.026476252824068,0.068450182676315,0.047974061220884,0.137248232960701,0.394409894943237,0.782862544059753,2.904047966003418,0.581126153469086,0.345245212316513,8.21075439453125,-0.601527690887451,0.062498673796654,0.062498673796654,0.299052387475967,0.068450182676315,0.704186320304871,0.026476252824068,0.068450182676315,0.047974061220884,0.137248232960701,0.394409894943237,0.782862544059753,2.904047966003418,0.581126153469086,0.345245212316513,8.21075439453125,-0.601527690887451,0.062498673796654,0.062498673796654,0.299052387475967,0.068450182676315,0.704186320304871
869,1417,0.024026354774833,0.063557773828506,0.051546838134527,0.131763651967049,0.337083578109741,0.735592901706696,2.579397916793823,0.483680754899979,0.284642964601517,6.564094066619873,-0.716427683830261,0.051229476928711,0.051229476928711,0.255277633666992,0.063557773828506,0.684571981430054,2019-08-21,0.024026354774833,0.063557773828506,0.051546838134527,0.131763651967049,0.337083578109741,0.735592901706696,2.579397916793823,0.483680754899979,0.284642964601517,6.564094066619873,-0.716427683830261,0.051229476928711,0.051229476928711,0.255277633666992,0.063557773828506,0.684571981430054,0.024026354774833,0.063557773828506,0.051546838134527,0.131763651967049,0.337083578109741,0.735592901706696,2.579397916793823,0.483680754899979,0.284642964601517,6.564094066619873,-0.716427683830261,0.051229476928711,0.051229476928711,0.255277633666992,0.063557773828506,0.684571981430054
870,1418,0.027468310669065,0.068491190671921,0.049923669546843,0.134708538651466,0.370780497789383,0.760664105415344,2.798550605773926,0.543918490409851,0.320353031158447,7.35645580291748,-0.63411146402359,0.059268936514854,0.059268936514854,0.278936922550201,0.068491190671921,0.687800526618958,2019-08-21,0.027468310669065,0.068491190671921,0.049923669546843,0.134708538651466,0.370780497789383,0.760664105415344,2.798550605773926,0.543918490409851,0.320353031158447,7.35645580291748,-0.63411146402359,0.059268936514854,0.059268936514854,0.278936922550201,0.068491190671921,0.687800526618958,0.027468310669065,0.068491190671921,0.049923669546843,0.134708538651466,0.370780497789383,0.760664105415344,2.798550605773926,0.543918490409851,0.320353031158447,7.35645580291748,-0.63411146402359,0.059268936514854,0.059268936514854,0.278936922550201,0.068491190671921,0.687800526618958
871,1419,0.025951726362109,0.070419896394014,0.055958157405257,0.146251037716866,0.367383748292923,0.735754251480103,2.46249532699585,0.509049892425537,0.309216722846031,6.568711757659912,-0.684938043355942,0.058667939156294,0.058667939156294,0.267150357365608,0.070419896394014,0.678810954093933,2019-08-21,0.025951726362109,0.070419896394014,0.055958157405257,0.146251037716866,0.367383748292923,0.735754251480103,2.46249532699585,0.509049892425537,0.309216722846031,6.568711757659912,-0.684938043355942,0.058667939156294,0.058667939156294,0.267150357365608,0.070419896394014,0.678810954093933,0.025951726362109,0.070419896394014,0.055958157405257,0.146251037716866,0.367383748292923,0.735754251480103,2.46249532699585,0.509049892425537,0.309216722846031,6.568711757659912,-0.684938043355942,0.058667939156294,0.058667939156294,0.267150357365608,0.070419896394014,0.678810954093933
872,1420,0.024672914296389,0.066648960113525,0.054326763376594,0.134788013994694,0.334504976868629,0.722167372703552,2.490873694419861,0.472497761249542,0.279484614729881,6.198578119277954,-0.714975088834763,0.053581094369292,0.053581094369292,0.255890056490898,0.066648960113525,0.669488817453384,2019-08-21,0.024672914296389,0.066648960113525,0.054326763376594,0.134788013994694,0.334504976868629,0.722167372703552,2.490873694419861,0.472497761249542,0.279484614729881,6.198578119277954,-0.714975088834763,0.053581094369292,0.053581094369292,0.255890056490898,0.066648960113525,0.669488817453384,0.024672914296389,0.066648960113525,0.054326763376594,0.134788013994694,0.334504976868629,0.722167372703552,2.490873694419861,0.472497761249542,0.279484614729881,6.198578119277954,-0.714975088834763,0.053581094369292,0.053581094369292,0.255890056490898,0.066648960113525,0.669488817453384
873,1421,0.022420210763812,0.06083394959569,0.049412932246923,0.127380311489105,0.323208630084991,0.736888825893402,2.559723615646362,0.466704040765762,0.272714018821716,6.601349353790283,-0.726945400238037,0.04897028580308,0.04897028580308,0.256630152463913,0.06083394959569,0.684567749500275,2019-08-21,0.022420210763812,0.06083394959569,0.049412932246923,0.127380311489105,0.323208630084991,0.736888825893402,2.559723615646362,0.466704040765762,0.272714018821716,6.601349353790283,-0.726945400238037,0.04897028580308,0.04897028580308,0.256630152463913,0.06083394959569,0.684567749500275,0.022420210763812,0.06083394959569,0.049412932246923,0.127380311489105,0.323208630084991,0.736888825893402,2.559723615646362,0.466704040765762,0.272714018821716,6.601349353790283,-0.726945400238037,0.04897028580308,0.04897028580308,0.256630152463913,0.06083394959569,0.684567749500275
