Model,Pipeline,Train_score,Test_score,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,DataTime
"Lasso(alpha=0.0, max_iter=950, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=950, random_state=1,
                       selection='random', warm_start=True))])",0.863961223,0.859187292,0,950,random,CYCLE1,,,,,,,12:27.0
"Lasso(alpha=0.0, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model', Lasso(alpha=0.0, random_state=1, warm_start=True))])",0.862564284,0.858033108,0,1000,cyclic,CYCLE1,,,,,,,12:27.1
"Lasso(alpha=0.0, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, random_state=1, selection='random',
                       warm_start=True))])",0.864023518,0.859199519,0,1000,random,CYCLE1,,,,,,,12:27.2
"Lasso(alpha=0.0, max_iter=1050, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1050, random_state=1,
                       warm_start=True))])",0.862593729,0.858002602,0,1050,cyclic,CYCLE1,,,,,,,12:27.3
"Lasso(alpha=0.0, max_iter=1050, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1050, random_state=1,
                       selection='random', warm_start=True))])",0.864079494,0.859207628,0,1050,random,CYCLE1,,,,,,,12:27.4
"Lasso(alpha=0.0, max_iter=1100, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1100, random_state=1,
                       warm_start=True))])",0.862620581,0.857970561,0,1100,cyclic,CYCLE1,,,,,,,12:27.5
"Lasso(alpha=0.0, max_iter=1100, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1100, random_state=1,
                       selection='random', warm_start=True))])",0.864138601,0.859206332,0,1100,random,CYCLE1,,,,,,,12:27.6
"Lasso(alpha=0.0, max_iter=1150, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1150, random_state=1,
                       warm_start=True))])",0.862645299,0.857937378,0,1150,cyclic,CYCLE1,,,,,,,12:27.7
"Lasso(alpha=0.0, max_iter=1150, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1150, random_state=1,
                       selection='random', warm_start=True))])",0.864188211,0.859165235,0,1150,random,CYCLE1,,,,,,,12:27.7
"Lasso(alpha=0.0, max_iter=1200, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1200, random_state=1,
                       warm_start=True))])",0.862668274,0.857903407,0,1200,cyclic,CYCLE1,,,,,,,12:27.9
"Lasso(alpha=0.0, max_iter=1200, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1200, random_state=1,
                       selection='random', warm_start=True))])",0.864237352,0.859145089,0,1200,random,CYCLE1,,,,,,,12:28.0
