Model,Pipeline,Train_score,Test_score,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,DataTime
"Lasso(alpha=0.0, max_iter=13000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=13000, random_state=1,
                       selection='random', warm_start=True))])",0.6894241196089032,0.694742144593551,0.0,13000,random,,,,,,,,2021-11-04 00:41:46.711320
"Lasso(alpha=0.0, max_iter=13000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=13000, random_state=1,
                       warm_start=True))])",0.688314899469852,0.694328521147892,0.0,13000,cyclic,,,,,,,,2021-11-04 00:41:50.490581
"Lasso(alpha=0.0, max_iter=13500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=13500, random_state=1,
                       selection='random', warm_start=True))])",0.6896109086462108,0.6949274534836961,0.0,13500,random,,,,,,,,2021-11-04 00:41:54.704530
"Lasso(alpha=0.0, max_iter=13500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=13500, random_state=1,
                       warm_start=True))])",0.6885144567310477,0.6945235573094246,0.0,13500,cyclic,,,,,,,,2021-11-04 00:41:59.918641
"Lasso(alpha=0.0, max_iter=14000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=14000, random_state=1,
                       selection='random', warm_start=True))])",0.6897828988800112,0.6951139939634459,0.0,14000,random,,,,,,,,2021-11-04 00:42:04.578210
"Lasso(alpha=0.0, max_iter=14000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=14000, random_state=1,
                       warm_start=True))])",0.6887071433256444,0.6947113371129494,0.0,14000,cyclic,,,,,,,,2021-11-04 00:42:09.255426
"Lasso(alpha=0.0, max_iter=14500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=14500, random_state=1,
                       selection='random', warm_start=True))])",0.6899517605355948,0.695247719586751,0.0,14500,random,,,,,,,,2021-11-04 00:42:14.497959
"Lasso(alpha=0.0, max_iter=14500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=14500, random_state=1,
                       warm_start=True))])",0.6888931652338317,0.6948921860686723,0.0,14500,cyclic,,,,,,,,2021-11-04 00:42:19.430126
"Lasso(alpha=0.0, max_iter=15000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=15000, random_state=1,
                       selection='random', warm_start=True))])",0.6901134991640393,0.6954017733177751,0.0,15000,random,,,,,,,,2021-11-04 00:42:24.905828
"Lasso(alpha=0.0, max_iter=15000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=15000, random_state=1,
                       warm_start=True))])",0.6890727309800939,0.6950664145891645,0.0,15000,cyclic,,,,,,,,2021-11-04 00:42:29.506746
"Lasso(alpha=0.0, max_iter=15500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=15500, random_state=1,
                       selection='random', warm_start=True))])",0.6902720179889471,0.6955372228096688,0.0,15500,random,,,,,,,,2021-11-04 00:42:34.247884
"Lasso(alpha=0.0, max_iter=15500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=15500, random_state=1,
                       warm_start=True))])",0.6892460501639277,0.6952343190640683,0.0,15500,cyclic,,,,,,,,2021-11-04 00:42:39.119017
"Lasso(alpha=0.0, max_iter=16000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=16000, random_state=1,
                       selection='random', warm_start=True))])",0.6904253107450713,0.6957166012929544,0.0,16000,random,,,,,,,,2021-11-04 00:42:44.726853
"Lasso(alpha=0.0, max_iter=16000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=16000, random_state=1,
                       warm_start=True))])",0.6894133321570743,0.6953961827470578,0.0,16000,cyclic,,,,,,,,2021-11-04 00:42:50.699076
"Lasso(alpha=0.0, max_iter=16500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=16500, random_state=1,
                       selection='random', warm_start=True))])",0.6905670235478594,0.6958351140081924,0.0,16500,random,,,,,,,,2021-11-04 00:42:56.497832
"Lasso(alpha=0.0, max_iter=16500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=16500, random_state=1,
                       warm_start=True))])",0.6895747849757801,0.6955522765030245,0.0,16500,cyclic,,,,,,,,2021-11-04 00:43:03.033447
"Lasso(alpha=0.0, max_iter=17000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=17000, random_state=1,
                       selection='random', warm_start=True))])",0.6907063281253811,0.6959690019015106,0.0,17000,random,,,,,,,,2021-11-04 00:43:09.167943
"Lasso(alpha=0.0, max_iter=17000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=17000, random_state=1,
                       warm_start=True))])",0.6897306143243698,0.6957028594512278,0.0,17000,cyclic,,,,,,,,2021-11-04 00:43:16.194643
"Lasso(alpha=0.0, max_iter=17500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=17500, random_state=1,
                       selection='random', warm_start=True))])",0.6908358000578361,0.6961142267979272,0.0,17500,random,,,,,,,,2021-11-04 00:43:22.426716
"Lasso(alpha=0.0, max_iter=17500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=17500, random_state=1,
                       warm_start=True))])",0.6898810227992755,0.6958481795307212,0.0,17500,cyclic,,,,,,,,2021-11-04 00:43:28.559222
"Lasso(alpha=0.0, max_iter=18000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=18000, random_state=1,
                       selection='random', warm_start=True))])",0.6909668069168343,0.6962193525710784,0.0,18000,random,,,,,,,,2021-11-04 00:43:34.196629
"Lasso(alpha=0.0, max_iter=18000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=18000, random_state=1,
                       warm_start=True))])",0.6900262092389204,0.695988474007287,0.0,18000,cyclic,,,,,,,,2021-11-04 00:43:40.541651
